AMD Ryzen Z2 Extreme,14960
Intel Xeon D-2766NT,14957
Intel Core i9-11900K,14957
Intel Core 5 211EF,14943
Intel Core i7-12800H,14924
Intel Xeon W-1390,14889
AMD Ryzen Z1 Extreme,14881
Intel Xeon Gold 6230,14828
Intel Core i5-13400,14826
Intel Xeon Gold 6122,14812
Intel Core i7-11700K,14798
Intel Xeon E5-2699 v4,14771
AMD Ryzen 7 7840U,14766
AMD Ryzen 5 8400F,14761
Intel Core i9-9920X,14753
AMD Ryzen 7 PRO 7840U,14734
AMD Ryzen AI Max Pro 380,14723
Intel Core i7-13620H,14718
Intel Core i5-12600HL,14711
Intel Xeon E-2486,14705
Intel Xeon Platinum 8176,14691
Intel Xeon E-2388G,14683
AMD Ryzen 7 5700G,14663
AMD Ryzen Threadripper 2920X,14650
Intel Xeon W-1370P,14646
Intel Core i5-13600HE,14629
Intel Core i9-11900KF,14617
Intel Core i5-12500HL,14556
Intel Core i9-12900HK,14513
AMD Ryzen 9 6900HX,14375
AMD Ryzen 7 PRO 5750G,14368
AMD Ryzen 7 PRO 5755G,14358
AMD Ryzen 9 PRO 6950H,14349
AMD Ryzen 5 PRO 8600GE,14329
Intel Core i5-13600H,14315
Intel Xeon E5-2696 v4,14304
Intel Xeon W-1370,14295
Intel Core i5-14500T,14270
Intel Xeon Gold 5218R,14252
Intel Core i7-12650HX,14234
Intel Core i5-12600HE,14220
AMD Ryzen 7 7735H,14168
Intel Core i9-11900KB,14155
Intel Xeon Platinum 8124M,14127
AMD Ryzen 7 8840U,14125
Intel Xeon Gold 6142,14123
AMD Ryzen 7 PRO 6850H,14119
Intel Core i5-13500T,14094
Intel Core i7-11700KF,14078
AMD EPYC 7451,14038
Intel Core i9-7920X,14037
AMD Ryzen 7 7840S,14036
Intel Xeon Gold 6242,13998
AMD Ryzen 5 PRO 8645HS,13998
Intel Core i9-11900,13992
AMD Ryzen 9 5980HX,13976
Intel Xeon W-1290P,13937
Intel Xeon Gold 6138T,13868
Intel Core Ultra 7 365,13860
AMD Ryzen 7 7435HS,13856
AMD Ryzen 5 240,13849
Intel Core i9-10900K,13787
AMD Ryzen 7 6800H,13785
Intel Xeon Platinum P-8124,13784
AMD Ryzen 5 7640HS,13770
Intel Core Ultra 5 135H,13760
AMD Ryzen 5 PRO 7445,13752
Intel Core i7-13700TE,13721
Intel Xeon E5-2679 v4,13704
AMD Ryzen 7 7735HS,13692
Intel Xeon E5-2698 v4,13690
Intel Xeon Silver 4310,13643
AMD Ryzen 9 PRO 6950HS,13638
AMD EPYC 7351P,13636
AMD Ryzen 7 6800HS,13626
Intel Xeon Gold 6262,13594
AMD Ryzen 7 3800XT,13587
Intel Core i9-10850K,13577
Intel Xeon W-2175,13561
Intel Xeon E-2436,13523
Intel Core i9-10900X,13491
Intel Core i7-12650H,13490
AMD Ryzen AI Z2 Extreme,13490
AMD Ryzen Threadripper 1920X,13482
AMD Ryzen 7 3800X,13478
Intel Core 5 120,13474
Intel Xeon E7-8891 v3,13465
Intel Xeon W-11955M,13459
Intel Core 5 220H,13454
AMD Ryzen 7 PRO 6850HS,13452
AMD Ryzen 5 5600XT,13441
Intel Core i7-11700B,13436
Intel Xeon W-2255,13394
AMD Ryzen 5 8645HS,13392
Intel Core 5 120F,13379
AMD Ryzen 5 PRO 7640HS,13371
Intel Xeon Gold 5218T,13351
AMD Ryzen 9 5900HX,13346
Intel Core i9-10910,13330
Intel Core i5-12600,13320
Intel Xeon Gold 6146,13309
Intel Core i7-11850HE,13307
AMD Ryzen AI 7 PRO 360,13298
Intel Xeon Gold 6246,13282
AMD EPYC 7203P,13267
AMD Ryzen 5 PRO 8500G,13254
Intel Core i5-13500TE,13253
Intel Core i7-12700T,13251
AMD Ryzen 5 5600T,13210
AMD Ryzen 5 PRO 5645,13200
Intel Xeon E-2378G,13177
Intel Xeon Gold 6130,13175
AMD Ryzen 5 5600X3D,13163
Intel Core i5-13500H,13112
Intel Xeon E5-2696 v3,13098
AMD Ryzen 7 7736U,13075
AMD Ryzen 7 3700X,13041
Intel Core i9-11980HK,13041
Intel Xeon 6337P,13030
AMD Ryzen 5 PRO 8500GE,13027
AMD Ryzen 5 5600,12984
Intel Xeon Gold 6132,12974
Intel Xeon Gold 6126T,12968
Intel Core i5-14400T,12961
Intel Core i9-10900KF,12955
AMD Ryzen 7 5700GE,12946
Intel Core i5-12600H,12945
AMD Ryzen 5 8500G,12940
Intel Xeon E5-4669 v4,12911
Intel Xeon E-2456,12898
AMD Ryzen 7 PRO 250,12887
Intel Core Ultra 5 125H,12878
Intel Xeon 6333P,12868
Intel Xeon Gold 5218,12864
Intel Core i7-11700,12859
Intel Xeon Silver 4310T,12857
Intel Xeon D-2753NT,12848
Intel Xeon Gold 6226,12844
Intel Core i5-12650HX,12840
AMD Ryzen 5 PRO 7640U,12828
Intel Core i9-11950H,12803
Intel Xeon Gold 6250,12802
Intel Xeon Gold 6334,12777
AMD EPYC 7351,12770
Intel Xeon Gold 5315Y,12755
AMD Ryzen 5 8500GE,12744
Intel Core i9-11900F,12740
Intel Xeon E5-2697A v4,12737
Intel Core i5-12500H,12737
Intel Core i5-12500E,12715
Intel Core i5-12490F,12686
